game_id,name,date,player_count,gain,percentage_gain,followers,rank,positive_reviews,negative_reviews,positive_percentage
1145360,Hades,March 2024,"7,881",-285,-3.5%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,February 2024,"8,166",-905,-10.0%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,January 2024,"9,071",-378,-4.0%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,December 2023,"9,449",+812,+9.4%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,November 2023,"8,637","+1,514",+21.3%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,October 2023,"7,123","-1,145",-13.8%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,September 2023,"8,268","+2,788",+50.9%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,August 2023,"5,480","-2,528",-31.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,July 2023,"8,008","+1,377",+20.8%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,June 2023,"6,631",-594,-8.2%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,May 2023,"7,225","-4,738",-39.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,April 2023,"11,963","+1,151",+10.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,March 2023,"10,812","+2,526",+30.5%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,February 2023,"8,286","-8,617",-51.0%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,January 2023,"16,903","-3,198",-15.9%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,December 2022,"20,101","+10,747",+114.9%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,November 2022,"9,354",-151,-1.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,October 2022,"9,505","-2,728",-22.3%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,September 2022,"12,233",+248,+2.1%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,August 2022,"11,985","-2,121",-15.0%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,July 2022,"14,106","+4,043",+40.2%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,June 2022,"10,063","+4,217",+72.1%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,May 2022,"5,846","-3,502",-37.5%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,April 2022,"9,348","-1,030",-9.9%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,March 2022,"10,378","-1,759",-14.5%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,February 2022,"12,137",-215,-1.7%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,January 2022,"12,352",+788,+6.8%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,December 2021,"11,564",+462,+4.2%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,November 2021,"11,102","-2,564",-18.8%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,October 2021,"13,666","+5,358",+64.5%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,September 2021,"8,308",-980,-10.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,August 2021,"9,288","-6,219",-40.1%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,July 2021,"15,507",+909,+6.2%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,June 2021,"14,598","+6,939",+90.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,May 2021,"7,659","-3,500",-31.4%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,April 2021,"11,159","-7,114",-38.9%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,March 2021,"18,273","+1,249",+7.3%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,February 2021,"17,024","-18,399",-51.9%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,January 2021,"35,423","+1,027",+3.0%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,December 2020,"34,396","+4,958",+16.8%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,November 2020,"29,438","-3,174",-9.7%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,October 2020,"32,612","-5,137",-13.6%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,September 2020,"37,749","+35,814","+1,850.9%","292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,August 2020,"1,935","-3,118",-61.7%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,July 2020,"5,053",-651,-11.4%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,June 2020,"5,704",-394,-6.5%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,May 2020,"6,098","+3,982",+188.2%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,April 2020,"2,116","-3,828",-64.4%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,March 2020,"5,944",+552,+10.2%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
1145360,Hades,February 2020,"5,392","-2,712",-33.5%,"292,058 followers",#462 in top sellers,"272,837 positive reviews","4,832 negative reviews",98.26% positive reviews
